Dataset,Retriever,Recall@10,MRR,nDCG@10,n_queries
nfcorpus,BM25,0.14188353949000868,0.4909713008010222,0.2972374954193292,323
nfcorpus,Dense,0.15272334850010738,0.5031352892034007,0.31504590517147457,323
nfcorpus,Hybrid,0.16693622179513887,0.5496707454911791,0.3379888309719747,323
scifact,BM25,0.6831666666666666,0.5284272486772488,0.5781927320095333,300
scifact,Dense,0.7866666666666666,0.605095238095238,0.6536246171549333,300
scifact,Hybrid,0.8012222222222223,0.634206349206349,0.6798725203213268,300
fiqa,BM25,0.27836321343265796,0.2734316823437193,0.22260541532126993,648
fiqa,Dense,0.4434917748575155,0.4466104497354498,0.37255341346754917,648
fiqa,Hybrid,0.4468725633077484,0.4365930580050948,0.36982323346035434,648
